"תרשים 1 - הרכב ההוצאות לתצרוכת למשק בית, אחוזים, 2019–2022",,,,
,,,,
קבוצת תצרוכת,2019,2020,2021,2022
דיור,25.0,28.7,26.9,24.8
תחבורה ותקשורת,19.3,14.2,14.8,18.6
מזון,17.6,18.8,18.7,18.0
תחזוקת הדירה,9.4,11.2,10.1,9.3
"חינוך, תרבות ובידור",11.0,9.7,10.9,11.0
בריאות,6.0,6.2,6.4,6.4
מוצרים ושירותים אחרים,4.8,4.6,4.8,4.9
ריהוט וציוד לבית,3.6,4.2,4.0,3.8
הלבשה והנעלה,3.3,2.4,3.4,3.3
